StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_istio_proxy,mem_Mi_avg_istio_proxy
2020-06-19T07:14:57.388126729Z,240,eb32e216_qps_1000_c_64_1024_none_both,64,1000,7512,9599,12005,331.9798317,381.0289063
2020-06-19T07:10:47.035866636Z,240,eb32e216_qps_1000_c_32_1024_none_both,32,1000,4611,5742,6760,372.2741574,375.1875
2020-06-19T07:05:58.883927885Z,240,eb32e216_qps_1000_c_16_1024_none_both,16,1000,2901,3678,4420,415.0357092,367.8632813
2020-06-19T07:01:50.549285183Z,240,eb32e216_qps_1000_c_8_1024_none_both,8,1000,2060,2536,3159,401.2887598,360.1429688
2020-06-19T06:57:34.190703946Z,240,eb32e216_qps_1000_c_4_1024_none_both,4,1000,1341,1658,2033,431.1963674,352.484375
2020-06-19T06:53:25.11669883Z,240,eb32e216_qps_1000_c_2_1024_none_both,2,1000,1045,1227,1490,512.9726737,344.3894531
2020-06-19T06:39:20.853343395Z,240,c09dc932_qps_1000_c_64_1024_mixer_both,64,1000,11529,16442,19418,538.6465583,331.7085938
2020-06-19T06:35:00.941220508Z,240,c09dc932_qps_1000_c_32_1024_mixer_both,32,1000,6713,9499,12136,548.1982746,318.0609375
2020-06-19T06:30:33.205175576Z,240,c09dc932_qps_1000_c_16_1024_mixer_both,16,1000,4636,6401,8036,606.1370025,305.2132813
2020-06-19T06:26:07.383973306Z,240,c09dc932_qps_1000_c_8_1024_mixer_both,8,1000,2360,3076,4752,679.7558178,290.5671875
2020-06-19T06:21:51.440742182Z,240,c09dc932_qps_1000_c_4_1024_mixer_both,4,1000,1600,1988,3530,703.3662348,275.6625
2020-06-19T06:17:36.065433372Z,240,c09dc932_qps_1000_c_2_1024_mixer_both,2,1000,1292,1494,2923,725.3389645,260.5328125
2020-06-19T05:31:17.079528806Z,240,e5def0bd_qps_1000_c_64_1024_v2-nullvm_both,64,1000,10236,12596,14834,455.9025197,245.3125
2020-06-19T05:27:02.561393665Z,240,e5def0bd_qps_1000_c_32_1024_v2-nullvm_both,32,1000,6029,7849,8981,494.1929849,236.2148438
2020-06-19T05:22:50.595627954Z,240,e5def0bd_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3558,4303,4961,540.6787125,226.484375
2020-06-19T05:18:34.205536588Z,240,e5def0bd_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2163,2763,3275,601.8551603,215.778125
2020-06-19T05:14:15.940279949Z,240,e5def0bd_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1450,1742,2159,608.3546481,205.1351563
2020-06-19T05:10:01.024972738Z,240,e5def0bd_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1289,1539,1852,586.3000347,195.2824219
2020-06-18T23:03:10.366821903Z,240,a1d92bb2_qps_1000_c_64_1024_v2-nullvm_both,64,1000,10351,13340,14922,449.8886512,186.3742188
2020-06-18T22:58:52.518549295Z,240,a1d92bb2_qps_1000_c_32_1024_v2-nullvm_both,32,1000,6121,7499,8660,520.5055184,176.6640625
2020-06-18T22:54:32.775160334Z,240,a1d92bb2_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3707,4450,5384,534.7487007,166.5898438
2020-06-18T22:50:18.656539909Z,240,a1d92bb2_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2352,2964,3639,638.1778678,154.7542969
2020-06-18T22:46:04.00736254Z,240,a1d92bb2_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1609,1970,2445,660.2205086,142.5789063
2020-06-18T22:41:38.096514938Z,240,a1d92bb2_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1287,1492,1832,702.4784368,129.7054688
