StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-05-01T06:09:58.613350995Z,240,d8e138b9_qps_1000_c_16_1024_mixer_both,16,1000,3.816,5.225,6.836,8.052
2020-05-01T06:22:03.566334877Z,240,d8e138b9_qps_1000_c_64_1024_mixer_baseline,64,1000,0.935,2.635,3.867,5.93
2020-05-01T04:59:09.482036436Z,240,54228734_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.586,0.789,1.42,2.192
2020-05-01T06:49:32.368336209Z,240,73d2cfef_qps_1000_c_2_1024_none_both,2,1000,1.162,1.431,1.721,2.182
2020-05-01T05:19:18.21925635Z,240,54228734_qps_1000_c_64_1024_v2-nullvm_both,64,1000,9.228,11.855,13.809,14.928
2020-05-01T06:05:56.194557685Z,240,d8e138b9_qps_1000_c_16_1024_mixer_baseline,16,1000,0.602,0.824,1.499,2.261
2020-05-01T04:35:00.965091298Z,240,54228734_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.3,0.387,0.573,0.924
2020-05-01T06:57:35.394197631Z,240,73d2cfef_qps_1000_c_4_1024_none_both,4,1000,1.381,1.727,2.16,2.713
2020-05-01T07:21:44.059814657Z,240,73d2cfef_qps_1000_c_32_1024_none_both,32,1000,4.354,5.615,6.749,7.817
2020-05-01T05:03:11.373798512Z,240,54228734_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3.149,3.919,4.514,5.175
2020-05-01T05:53:51.728687789Z,240,d8e138b9_qps_1000_c_4_1024_mixer_both,4,1000,1.548,1.967,3.186,3.927
2020-05-01T04:39:02.977972067Z,240,54228734_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1.107,1.24,1.482,1.833
2020-05-01T07:13:41.051072346Z,240,73d2cfef_qps_1000_c_16_1024_none_both,16,1000,3.03,3.906,4.589,5.493
2020-05-01T07:29:46.451332803Z,240,73d2cfef_qps_1000_c_64_1024_none_both,64,1000,7.376,9.578,12.143,13.711
2020-05-01T07:17:42.170572298Z,240,73d2cfef_qps_1000_c_32_1024_none_baseline,32,1000,0.767,1.63,2.964,4.003
2020-05-01T07:05:37.757053732Z,240,73d2cfef_qps_1000_c_8_1024_none_both,8,1000,1.815,2.233,2.834,3.341
2020-05-01T06:18:00.992084753Z,240,d8e138b9_qps_1000_c_32_1024_mixer_both,32,1000,6.325,8.43,9.92,12.277
2020-05-01T06:01:54.795097175Z,240,d8e138b9_qps_1000_c_8_1024_mixer_both,8,1000,2.182,2.892,4.289,4.992
2020-05-01T05:11:14.629249042Z,240,54228734_qps_1000_c_32_1024_v2-nullvm_both,32,1000,5.172,6.611,7.706,8.91
2020-05-01T07:09:39.836005466Z,240,73d2cfef_qps_1000_c_16_1024_none_baseline,16,1000,0.57,0.776,1.464,2.191
2020-05-01T05:45:49.555641096Z,240,d8e138b9_qps_1000_c_2_1024_mixer_both,2,1000,1.149,1.402,2.573,3.958
2020-05-01T06:26:05.191408761Z,240,d8e138b9_qps_1000_c_64_1024_mixer_both,64,1000,11.471,16.051,19.663,23.99
2020-05-01T06:53:33.520630531Z,240,73d2cfef_qps_1000_c_4_1024_none_baseline,4,1000,0.452,0.607,0.957,1.485
2020-05-01T07:25:45.22959253Z,240,73d2cfef_qps_1000_c_64_1024_none_baseline,64,1000,1.007,2.799,4.15,5.505
2020-05-01T07:01:36.497653817Z,240,73d2cfef_qps_1000_c_8_1024_none_baseline,8,1000,0.523,0.708,1.072,1.677
2020-05-01T05:49:50.643965309Z,240,d8e138b9_qps_1000_c_4_1024_mixer_baseline,4,1000,0.376,0.499,0.784,1.451
2020-05-01T06:13:59.798117332Z,240,d8e138b9_qps_1000_c_32_1024_mixer_baseline,32,1000,0.724,1.578,2.922,3.928
2020-05-01T06:45:30.920284842Z,240,73d2cfef_qps_1000_c_2_1024_none_baseline,2,1000,0.324,0.433,0.655,1.176
2020-05-01T04:51:07.261710256Z,240,54228734_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.488,0.665,0.993,1.627
2020-05-01T05:41:47.593649814Z,240,d8e138b9_qps_1000_c_2_1024_mixer_baseline,2,1000,0.304,0.391,0.568,1.274
2020-05-01T05:15:16.960526637Z,240,54228734_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,0.931,2.623,3.864,5.984
2020-05-01T05:07:12.676016146Z,240,54228734_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,0.74,1.557,2.888,3.884
2020-05-01T05:57:53.65400073Z,240,d8e138b9_qps_1000_c_8_1024_mixer_baseline,8,1000,0.485,0.656,0.99,1.646
2020-05-01T04:47:05.393215227Z,240,54228734_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.476,1.76,2.165,2.529
2020-05-01T04:43:04.182580632Z,240,54228734_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.352,0.461,0.691,1.235
2020-05-01T04:55:08.403332063Z,240,54228734_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2.301,2.836,3.302,3.708
